Cancel;Annuleren
Close;Sluiten
Retry;Opnieuw proberen
Positions;Posities
Position;Positie
Height;Hoogte
Go to Settings;Ga naar Instellingen
Add;Toevoegen
Update;Bijwerken
Bluetooth permission required;Bluetooth toestemming vereist
Idåsen Controller uses bluetooth to control the height of your desk.\nPlease check your settings and allow this app to use bluetooth.;Idåsen Controller gebruikt bluetooth om de hoogte van je bureau te besturen.\nControleer je instellingen en geef deze app toestemming bluetooth te gebruiken.
Bluetooth Disabled;Bluetooth Uitgeschakeld
It looks like your bluetooth is disabled.\nPlease check your bluetooth connection!;Het lijkt er op dat bluetooth is uitgeschakeld.\nControleer je bluetooth-verbinding!
Connected;Verbonden
Connecting;Verbinden
Looking for devices;Apparaten zoeken
Connecting to %@;Verbinden met %@
Please wait a moment while a connection is established with this device.;Wacht even totdat verbinding is gemaakt met dit apparaat.
Connection Failed;Verbinding mislukt
It was not possible to connect to %@.\nDo you wish to retry?;Het was niet mogelijk om te verbinden met %@.\nOpnieuw proberen?
Move desk to %@;Verplaats bureau naar %@
Tip Jar;Fooienpot
Hey there! Welcome to the tip jar!;Hey daar! Welkom bij de fooienpot!
Did you know that developing & maintaining an app consumes quite the time?;Weet je dat ontwikkelen en onderhouden van een app veel tijd kost?
This free app is being developed by a single person, with no profit in sight.;Deze gratis app wordt ontwikkeld door één persoon, zonder zicht op winst.
Please consider giving a small donation to help to support this app.;Overweeg een kleine donatie om deze app te ondersteunen.
Donation amount:;Donatiebedrag:
Thank you!;Dank je!
Donate;Doneren
Thank you for your feedback!;Bedankt voor je feedback!
Thank you for reaching out!\nYour suggestions for new additions and improvements are always appreciated!;Bedankt voor het contact zoeken!\nJe suggesties voor toevoegingen en verbeteringen worden altijd gewaardeerd!
Add Position;Positie toevoegen
Edit %@;Wijzig %@
Position name;Naam positie
Show in quick actions menu;Weergeven in snelle acties menu
Please note that the amount of items displayed in the quick actions menu is limited to the available screen space;Let op dat het aantal items dat kan worden weergegeven in het snelle acties menu beperkt is tot de beschikbare schermruimte.
Press the;Druk op de
button to add a new preset;knop om een nieuwe preset toe te voegen
Moving to %@;Verplaatsen naar %@
Tap anywhere to cancel;Tik ergens om te annuleren
Forget Desk;Vergeet bureau
Are you sure you wish to forget the current desk?\nThis action will also delete your presets.;Weet je zeker dat je het huidige bureau wilt vergeten?\nDeze actie verwijdert ook alle presets.
Forget Desk;Vergeet bureau
Options;Opties
What's New?;Wat is er nieuw?
If this app is useful for you, please;Als deze app nuttig voor je is,
consider giving a donation;overweeg dan te doneren
to help its support.;om bij te dragen aan de ondersteuning.
Rate;Waarderen
